,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,Punta Arenas,CL,-53.15,-70.92,37.2,47,68,13.87
1,Mar del Plata,AR,-38.0,-57.56,51.6,57,96,11.41
2,Rikitea,PF,-23.12,-134.97,72.03,79,0,10.85
3,Airai,TL,-8.93,125.41,54.43,84,93,2.42
4,Ilulissat,GL,69.22,-51.1,51.8,50,75,4.7
5,Aleksandrov Gay,RU,50.15,48.57,62.65,40,0,7.11
6,Mataura,NZ,-46.19,168.86,43.84,81,100,5.08
7,Evensk,RU,61.95,159.23,48.78,83,100,4.45
8,Saskylakh,RU,71.92,114.08,44.92,86,100,12.1
9,San Cristobal,VE,7.77,-72.22,87.8,55,40,6.93
10,Leningradskiy,RU,69.38,178.42,47.28,59,12,4.54
11,Kapaa,US,22.08,-159.32,82.24,69,40,12.75
12,Burnie,AU,-41.07,145.92,42.93,91,99,1.01
13,Esperance,AU,-33.87,121.9,46.4,100,75,13.87
14,Puerto Ayora,EC,-0.74,-90.35,72.63,65,40,24.16
15,Narsaq,GL,60.92,-46.05,64.4,39,20,6.93
16,Hobart,AU,-42.88,147.33,41.76,81,70,2.24
17,Port Lincoln,AU,-34.73,135.87,53.74,70,97,27.22
18,Dunedin,NZ,-45.87,170.5,46.99,75,100,1.99
19,Gornoye Loo,RU,43.71,39.6,67.89,83,40,4.47
20,Hong Kong,HK,22.29,114.16,78.3,93,98,11.01
21,Isangel,VU,-19.55,169.27,66.2,93,40,7.54
22,Penzance,GB,50.12,-5.54,64.71,93,55,8.05
23,Walvis Bay,NA,-22.96,14.51,54.75,58,0,3.36
24,East London,ZA,-33.02,27.91,55.22,60,78,32.86
25,Ushuaia,AR,-54.8,-68.3,33.8,88,90,26.4
26,Manokwari,ID,-0.87,134.08,78.51,76,100,3.56
27,Thompson,CA,55.74,-97.86,69.8,56,90,3.36
28,Butaritari,KI,3.07,172.79,83.08,71,3,11.65
29,Norman Wells,CA,65.28,-126.83,59.0,72,75,3.36
30,Sumter,US,28.71,-82.08,80.53,100,1,3.36
31,Te Anau,NZ,-45.42,167.72,42.76,88,89,1.52
32,Acapulco de Juárez,MX,16.86,-99.89,86.0,74,20,9.17
33,Atuona,PF,-9.8,-139.03,79.2,74,3,21.5
34,Yalutorovsk,RU,56.65,66.3,50.05,95,14,4.61
35,Yerbogachën,RU,61.28,108.01,47.95,64,8,3.96
36,Dikson,RU,73.51,80.55,52.84,71,3,6.49
37,Choma,ZM,-16.81,26.95,61.2,46,0,3.85
38,Namatanai,PG,-3.67,152.43,78.35,82,2,9.01
39,Kaitangata,NZ,-46.28,169.85,48.0,73,100,1.01
40,Vardø,NO,70.37,31.11,51.8,81,93,16.11
41,Tuktoyaktuk,CA,69.45,-133.04,60.8,55,20,12.75
42,Cape Coast,GH,5.11,-1.25,74.71,90,59,11.03
43,Diré,ML,12.28,-10.97,76.03,95,100,2.42
44,Bluff,NZ,-46.6,168.33,48.06,77,100,10.4
45,Asău,RO,46.43,26.4,63.0,82,28,3.56
46,Pontalina,BR,-17.52,-49.45,95.09,16,0,6.4
47,Coruripe,BR,-10.13,-36.18,75.29,83,88,10.89
48,Saldanha,ZA,-33.01,17.94,50.0,76,100,4.7
49,Nanortalik,GL,60.14,-45.24,51.55,62,0,3.18
50,Copiapó,CL,-27.37,-70.33,59.0,51,0,9.17
51,Świebodzice,PL,50.86,16.33,59.45,82,100,5.53
52,Hithadhoo,MV,-0.6,73.08,83.91,75,22,9.84
53,Acajutla,SV,13.59,-89.83,89.8,49,40,2.24
54,Sobolevo,RU,54.43,31.9,61.2,78,100,7.7
55,Kenitra,MA,34.26,-6.58,71.6,88,0,6.24
56,Hilo,US,19.73,-155.09,76.5,61,25,8.05
57,Khani,GE,41.96,42.96,68.0,94,20,3.36
58,Quatre Cocos,MU,-20.21,57.76,71.8,73,20,10.29
59,Hasilpur,PK,29.71,72.56,99.05,40,1,13.65
60,Los Llanos de Aridane,ES,28.66,-17.92,72.54,83,20,12.75
61,Cape Town,ZA,-33.93,18.42,49.82,70,20,3.36
62,Panjāb,AF,34.39,67.02,55.27,45,0,4.63
63,Vera Cruz,BR,-12.63,-41.03,77.0,69,90,2.24
64,Kloulklubed,PW,7.04,134.26,75.2,94,75,10.09
65,San Quintín,MX,30.48,-115.95,81.95,57,0,6.11
66,Ceres,US,37.59,-120.96,99.3,27,1,11.41
67,Codrington,AU,-38.27,141.97,46.89,95,100,3.96
68,Goulburn,AU,-34.75,149.72,43.0,96,0,18.14
69,Shumerlya,RU,55.5,46.41,48.07,88,2,4.83
70,Constitución,CL,-35.33,-72.42,52.68,76,92,11.16
71,Pozo Colorado,PY,-23.49,-58.8,73.35,83,93,5.06
72,Yellowknife,CA,62.46,-114.35,60.8,87,75,9.17
73,Nikolskoye,RU,59.7,30.79,54.43,76,37,3.89
74,Ohangaron,UZ,40.91,69.64,68.0,52,0,6.93
75,Port Hardy,CA,50.7,-127.42,60.8,87,90,5.82
76,Hermanus,ZA,-34.42,19.23,44.01,90,86,7.76
77,Krutinka,RU,56.01,71.51,52.66,94,97,8.14
